,text,cleaned,filtered
0,",text","[',text']","[',text']"
1,"0,b'@rtaylor1729 ahh possibly! you could give our applications team a quick call and see if they can help you progress\xe2\x80\xa6 https://t.co/hdeiu631ne'","[""0,b'@rtaylor1729"", 'ahh', 'possibly!', 'you', 'could', 'give', 'our', 'applications', 'team', 'a', 'quick', 'call', 'and', 'see', 'if', 'they', 'can', 'help', 'you', 'progress\\xe2\\x80\\xa6', ""https://t.co/hdeiu631ne'""]","[""0,b'@rtaylor1729"", 'ahh', 'possibly!', 'could', 'give', 'applications', 'team', 'quick', 'call', 'see', 'help', 'progress\\xe2\\x80\\xa6', ""https://t.co/hdeiu631ne'""]"
2,"1,""b""""@rtaylor1729 hey rob, thanks for getting in touch today! ohh i see, we're not aware of any issues at the moment. ha\xe2\x80\xa6 https://t.co/hbs6imyf6p""""""","['1,""b""""@rtaylor1729', 'hey', 'rob,', 'thanks', 'for', 'getting', 'in', 'touch', 'today!', 'ohh', 'i', 'see,', ""we're"", 'not', 'aware', 'of', 'any', 'issues', 'at', 'the', 'moment.', 'ha\\xe2\\x80\\xa6', 'https://t.co/hbs6imyf6p""""""']","['1,""b""""@rtaylor1729', 'hey', 'rob,', 'thanks', 'getting', 'touch', 'today!', 'ohh', 'see,', ""we're"", 'aware', 'issues', 'moment.', 'ha\\xe2\\x80\\xa6', 'https://t.co/hbs6imyf6p""""""']"
3,"2,b'@reissomari nice one! let me know how you get on! :) corrina'","[""2,b'@reissomari"", 'nice', 'one!', 'let', 'me', 'know', 'how', 'you', 'get', 'on!', ':)', ""corrina'""]","[""2,b'@reissomari"", 'nice', 'one!', 'let', 'know', 'get', 'on!', ':)', ""corrina'""]"
4,"3,""b""""@reissomari i see, thank you for confining - i'm so sorry about this! would you mind trying again tomorrow? let me\xe2\x80\xa6 https://t.co/whznw2nskr""""""","['3,""b""""@reissomari', 'i', 'see,', 'thank', 'you', 'for', 'confining', '-', ""i'm"", 'so', 'sorry', 'about', 'this!', 'would', 'you', 'mind', 'trying', 'again', 'tomorrow?', 'let', 'me\\xe2\\x80\\xa6', 'https://t.co/whznw2nskr""""""']","['3,""b""""@reissomari', 'see,', 'thank', 'confining', '-', ""i'm"", 'sorry', 'this!', 'would', 'mind', 'trying', 'tomorrow?', 'let', 'me\\xe2\\x80\\xa6', 'https://t.co/whznw2nskr""""""']"
5,"4,""b""""@reissomari hi gord\xc3\xa9, i'm not aware of any issues - have you tried on different browsers? corrina""""""","['4,""b""""@reissomari', 'hi', 'gord\\xc3\\xa9,', ""i'm"", 'not', 'aware', 'of', 'any', 'issues', '-', 'have', 'you', 'tried', 'on', 'different', 'browsers?', 'corrina""""""']","['4,""b""""@reissomari', 'hi', 'gord\\xc3\\xa9,', ""i'm"", 'aware', 'issues', '-', 'tried', 'different', 'browsers?', 'corrina""""""']"
6,"5,""b'@lee____cam complaining about it might not fix this right now, but if you want something to change, the best thing\xe2\x80\xa6 https://t.co/2s2fncxzl2'""","['5,""b\'@lee____cam', 'complaining', 'about', 'it', 'might', 'not', 'fix', 'this', 'right', 'now,', 'but', 'if', 'you', 'want', 'something', 'to', 'change,', 'the', 'best', 'thing\\xe2\\x80\\xa6', 'https://t.co/2s2fncxzl2\'""']","['5,""b\'@lee____cam', 'complaining', 'might', 'fix', 'right', 'now,', 'want', 'something', 'change,', 'best', 'thing\\xe2\\x80\\xa6', 'https://t.co/2s2fncxzl2\'""']"
7,"6,""b""""@lee____cam totally appreciate where you're coming from, lee - have you logged a complaint about this already? corrina""""""","['6,""b""""@lee____cam', 'totally', 'appreciate', 'where', ""you're"", 'coming', 'from,', 'lee', '-', 'have', 'you', 'logged', 'a', 'complaint', 'about', 'this', 'already?', 'corrina""""""']","['6,""b""""@lee____cam', 'totally', 'appreciate', 'coming', 'from,', 'lee', '-', 'logged', 'complaint', 'already?', 'corrina""""""']"
8,"7,""b""""@lee____cam but if you provide proof of income, we'll be able to talk you through it from there - so that it makes\xe2\x80\xa6 https://t.co/dddv3fjzab""""""","['7,""b""""@lee____cam', 'but', 'if', 'you', 'provide', 'proof', 'of', 'income,', ""we'll"", 'be', 'able', 'to', 'talk', 'you', 'through', 'it', 'from', 'there', '-', 'so', 'that', 'it', 'makes\\xe2\\x80\\xa6', 'https://t.co/dddv3fjzab""""""']","['7,""b""""@lee____cam', 'provide', 'proof', 'income,', ""we'll"", 'able', 'talk', '-', 'makes\\xe2\\x80\\xa6', 'https://t.co/dddv3fjzab""""""']"
9,"8,""b'@lee____cam i get what you mean and believe me, i understand your frustration with this - your credit limit is calc\xe2\x80\xa6 https://t.co/kpoa6b5big'""","['8,""b\'@lee____cam', 'i', 'get', 'what', 'you', 'mean', 'and', 'believe', 'me,', 'i', 'understand', 'your', 'frustration', 'with', 'this', '-', 'your', 'credit', 'limit', 'is', 'calc\\xe2\\x80\\xa6', 'https://t.co/kpoa6b5big\'""']","['8,""b\'@lee____cam', 'get', 'mean', 'believe', 'me,', 'understand', 'frustration', '-', 'credit', 'limit', 'calc\\xe2\\x80\\xa6', 'https://t.co/kpoa6b5big\'""']"
10,"9,""b'@lee____cam i am sorry about this, lee - we take a lot into account when making these types of adjustments, like yo\xe2\x80\xa6 https://t.co/oiwlejlgcv'""","['9,""b\'@lee____cam', 'i', 'am', 'sorry', 'about', 'this,', 'lee', '-', 'we', 'take', 'a', 'lot', 'into', 'account', 'when', 'making', 'these', 'types', 'of', 'adjustments,', 'like', 'yo\\xe2\\x80\\xa6', 'https://t.co/oiwlejlgcv\'""']","['9,""b\'@lee____cam', 'sorry', 'this,', 'lee', '-', 'take', 'lot', 'account', 'making', 'types', 'adjustments,', 'like', 'yo\\xe2\\x80\\xa6', 'https://t.co/oiwlejlgcv\'""']"
11,"10,""b""""@mark_the_man_89 that is so strange! i've genuinely never seen anything like this before happen to at least the ins\xe2\x80\xa6 https://t.co/jxdifsckjt""""""","['10,""b""""@mark_the_man_89', 'that', 'is', 'so', 'strange!', ""i've"", 'genuinely', 'never', 'seen', 'anything', 'like', 'this', 'before', 'happen', 'to', 'at', 'least', 'the', 'ins\\xe2\\x80\\xa6', 'https://t.co/jxdifsckjt""""""']","['10,""b""""@mark_the_man_89', 'strange!', ""i've"", 'genuinely', 'never', 'seen', 'anything', 'like', 'happen', 'least', 'ins\\xe2\\x80\\xa6', 'https://t.co/jxdifsckjt""""""']"
12,"11,""b""""@sxmcg hey sarah, there's not an email address - you'd just need to send it back to the freepost address that's men\xe2\x80\xa6 https://t.co/qq5wc079uv""""""","['11,""b""""@sxmcg', 'hey', 'sarah,', ""there's"", 'not', 'an', 'email', 'address', '-', ""you'd"", 'just', 'need', 'to', 'send', 'it', 'back', 'to', 'the', 'freepost', 'address', ""that's"", 'men\\xe2\\x80\\xa6', 'https://t.co/qq5wc079uv""""""']","['11,""b""""@sxmcg', 'hey', 'sarah,', ""there's"", 'email', 'address', '-', 'need', 'send', 'back', 'freepost', 'address', ""that's"", 'men\\xe2\\x80\\xa6', 'https://t.co/qq5wc079uv""""""']"
13,"12,""b""""@crowderthoughts thanks a lot for confirming - we're barclaycard uk :) you'd need to reach out to our pals over\xe2\x80\xa6 https://t.co/6dskreadgo""""""","['12,""b""""@crowderthoughts', 'thanks', 'a', 'lot', 'for', 'confirming', '-', ""we're"", 'barclaycard', 'uk', ':)', ""you'd"", 'need', 'to', 'reach', 'out', 'to', 'our', 'pals', 'over\\xe2\\x80\\xa6', 'https://t.co/6dskreadgo""""""']","['12,""b""""@crowderthoughts', 'thanks', 'lot', 'confirming', '-', ""we're"", 'barclaycard', 'uk', ':)', 'need', 'reach', 'pals', 'over\\xe2\\x80\\xa6', 'https://t.co/6dskreadgo""""""']"
14,"13,""b""""@crowderthoughts is this a barclays us number that you've tried to call? corrina""""""","['13,""b""""@crowderthoughts', 'is', 'this', 'a', 'barclays', 'us', 'number', 'that', ""you've"", 'tried', 'to', 'call?', 'corrina""""""']","['13,""b""""@crowderthoughts', 'barclays', 'us', 'number', 'tried', 'call?', 'corrina""""""']"
15,"14,b'@crowderthoughts i see - what number was it that you called? corrina'","[""14,b'@crowderthoughts"", 'i', 'see', '-', 'what', 'number', 'was', 'it', 'that', 'you', 'called?', ""corrina'""]","[""14,b'@crowderthoughts"", 'see', '-', 'number', 'called?', ""corrina'""]"
16,"15,""b""""@crowderthoughts hey there, what's going on? everything should be working as normal. are you getting any error mess\xe2\x80\xa6 https://t.co/zad65zzm7j""""""","['15,""b""""@crowderthoughts', 'hey', 'there,', ""what's"", 'going', 'on?', 'everything', 'should', 'be', 'working', 'as', 'normal.', 'are', 'you', 'getting', 'any', 'error', 'mess\\xe2\\x80\\xa6', 'https://t.co/zad65zzm7j""""""']","['15,""b""""@crowderthoughts', 'hey', 'there,', ""what's"", 'going', 'on?', 'everything', 'working', 'normal.', 'getting', 'error', 'mess\\xe2\\x80\\xa6', 'https://t.co/zad65zzm7j""""""']"
