,text
0,b'@rtaylor1729 ahh possibly! you could give our applications team a quick call and see if they can help you progress\xe2\x80\xa6 https://t.co/hdeiu631ne'
1,"b""@rtaylor1729 hey rob, thanks for getting in touch today! ohh i see, we're not aware of any issues at the moment. ha\xe2\x80\xa6 https://t.co/hbs6imyf6p"""
2,b'@reissomari nice one! let me know how you get on! :) corrina'
3,"b""@reissomari i see, thank you for confining - i'm so sorry about this! would you mind trying again tomorrow? let me\xe2\x80\xa6 https://t.co/whznw2nskr"""
4,"b""@reissomari hi gord\xc3\xa9, i'm not aware of any issues - have you tried on different browsers? corrina"""
5,"b'@lee____cam complaining about it might not fix this right now, but if you want something to change, the best thing\xe2\x80\xa6 https://t.co/2s2fncxzl2'"
6,"b""@lee____cam totally appreciate where you're coming from, lee - have you logged a complaint about this already? corrina"""
7,"b""@lee____cam but if you provide proof of income, we'll be able to talk you through it from there - so that it makes\xe2\x80\xa6 https://t.co/dddv3fjzab"""
8,"b'@lee____cam i get what you mean and believe me, i understand your frustration with this - your credit limit is calc\xe2\x80\xa6 https://t.co/kpoa6b5big'"
9,"b'@lee____cam i am sorry about this, lee - we take a lot into account when making these types of adjustments, like yo\xe2\x80\xa6 https://t.co/oiwlejlgcv'"
10,"b""@mark_the_man_89 that is so strange! i've genuinely never seen anything like this before happen to at least the ins\xe2\x80\xa6 https://t.co/jxdifsckjt"""
11,"b""@sxmcg hey sarah, there's not an email address - you'd just need to send it back to the freepost address that's men\xe2\x80\xa6 https://t.co/qq5wc079uv"""
12,"b""@crowderthoughts thanks a lot for confirming - we're barclaycard uk :) you'd need to reach out to our pals over\xe2\x80\xa6 https://t.co/6dskreadgo"""
13,"b""@crowderthoughts is this a barclays us number that you've tried to call? corrina"""
14,b'@crowderthoughts i see - what number was it that you called? corrina'
15,"b""@crowderthoughts hey there, what's going on? everything should be working as normal. are you getting any error mess\xe2\x80\xa6 https://t.co/zad65zzm7j"""
16,"b'@geordie_travels hi anthony, it certainly should have changed your available credit once it was showing in pending?\xe2\x80\xa6 https://t.co/qxsluum5qw'"
17,"b""@thomasjames_01 @mbna hi tom, let me find out more about that for you. it's not something i know much about but i'l\xe2\x80\xa6 https://t.co/gxk8mxcmcn"""
18,"b""@jakegh_ are you getting any error codes? and do you bank with barclays or is it just barclaycard. if you'd like to\xe2\x80\xa6 https://t.co/pdmww9bjbu"""
19,"b'@peter_kirkham hi peter, sorry to interrupt. apologies that the fraud team are unable to share details of their inv\xe2\x80\xa6 https://t.co/fb5i4a2byg'"
20,"b""@jakegh_ hi jake, so sorry you've had difficulties when trying to make a payment. can i ask are you trying to pay y\xe2\x80\xa6 https://t.co/pqahorvxqp"""
21,"b""@mickneal74 hi michael, sorry you're unhappy. if you'd like to explain more in a dm please feel free. thanks nikki https://t.co/mpqb4etryv"""
22,"b'@mark_the_man_89 hi mark, i would say we do have machines that seal these letters for us and piles are entered dire\xe2\x80\xa6 https://t.co/bchirf4tft'"
23,"b""@neenscbm if you pop over to dm we'll chat further there neens. thanks nikki https://t.co/mpqb4el2qt"""
24,b'@neenscbm we can only help by calling you neens. when are you home? thanks nikki'
25,"b'@geordie_travels hey anthony, do you mean you made a payment to a company or a payment to clear the balance on the credit card? brogan'"
26,"b""@ukbean77 i'm so sorry you feel this way, this certainly isn't how we want any of our customers to feel. could you\xe2\x80\xa6 https://t.co/apf9hrretj"""
27,"b'@danielfoxcc hey daniel, thanks for your tweet. so happy to see you loved the service, our little fraud detection n\xe2\x80\xa6 https://t.co/e4jjqvjkqn'"
28,"b""@qualiazombie thanks sean, i've just taken a bow in front of my computer for you as if you are royalty lol. if you\xe2\x80\xa6 https://t.co/dvyyl6kb1d"""
29,b'@qualiazombie healthy choice i like it. - dan'
30,"b""@james_a_day okay i see this often and you're doing the right thing calling through as we do have a team setup with\xe2\x80\xa6 https://t.co/uflgau6u6u"""
31,"b""@james_a_day and spiritual james, i'm all about your well being especially this close to the weekend. what are you\xe2\x80\xa6 https://t.co/nirloxsezb"""
32,"b""@james_a_day sometimes i wish that you could select what type of music you want to hear as i'm not a huge fan of ho\xe2\x80\xa6 https://t.co/9lrp36met3"""
33,"b'@the_purple_nun i am truly sorry about this kirsty, would you be able to pop over to dm with more information about\xe2\x80\xa6 https://t.co/romupa6kqd'"
34,"b""@1211justine hi there, i'm really sorry to hear of your experience. could you come through to dm and let me know if\xe2\x80\xa6 https://t.co/5gflbn5m6r"""
35,"b""@whittakerrob okay robert, in that case just give our app team a call about this on 0333 202 1035 and they'll get this sorted.  - dan"""
36,b'@boxingwozer123 i hope that you get sorted warren. thanks. - dan'
37,b'@boxingwozer123 okay in that case the best people to speak with would be our friends @bcardbusiness they are open 9\xe2\x80\xa6 https://t.co/wm7fegqxjq'
38,b'@boxingwozer123 hi warren. are you referring to a payment terminal with barclaycard business? - dan'
39,"b""@boxingwozer123 we don't have a uk number warren but all of our agents receive the same training whether they based\xe2\x80\xa6 https://t.co/g4p6auz8vr"""
40,"b""@mattbernard hi matt. that doesn't sound good at all, if you need any help at all you're more than welcome to drop into dm. thanks. - dan"""
41,"b""@boxingwozer123 hey warren, sorry to hear this if you'd like to pop over to dm i'll see if i can help. thanks. - dan"""
42,"b""@chrismcevoy this is a strange one chris, i'd probably recommend calling our app team about this so they can raise\xe2\x80\xa6 https://t.co/fgym9cfpbn"""
43,"b'@katethewench hi kate, whoops looks like we may have had a typo when someone has entered their number to us. are yo\xe2\x80\xa6 https://t.co/oyeqicffae'"
44,"b""@the_purple_nun apologies about this kirsty, if you'd like to discuss this in more detail just give us a call on 08\xe2\x80\xa6 https://t.co/dosk3lsh3z"""
45,"b""@joelphillips hey joel, ahh this is never the call you expect to receive! but i'm glad our fraud team have been abl\xe2\x80\xa6 https://t.co/9eevor1f9h"""
46,b'@lauren_brabin1 the team are 24/7 so you can call them at anytime. jo'
47,"b""@vinib hey vincenzo, thanks for your message. we're barclaycard uk here. you may find more information on the follo\xe2\x80\xa6 https://t.co/k2y9zt68nx"""
48,"b""@mr_prs i see, you'd need to give us a call on 0333 200 9090 (24/7) and the team will be able to take a closer look\xe2\x80\xa6 https://t.co/mop2ic4ozp"""
49,"b""@mr_prs hi there, thanks for your message. ah is this when you're trying to login to the barclaycard website? jo"""
50,"b""@paulrus00456941 hi paul, are you able to tell me what you're calling for and i can see if there is a way i can hel\xe2\x80\xa6 https://t.co/a0rlexdayj"""
51,"b""@lauren_brabin1 hi lauren, thanks for your message. oh no, we'd need to get you in a secure channel to be able to c\xe2\x80\xa6 https://t.co/usrl6umnov"""
52,"b""@kopite31 hey dean, thanks for your tweet, how're you today? are you trying to activate your card or register for t\xe2\x80\xa6 https://t.co/focjtcbucc"""
53,"b""@pt2537 we're here 24/7 if you do need us for anything, paul. jo"""
54,"b""straight outta newport \xe2\x80\x93 it's #goldielookinchain @theglc. check this out \xe2\x80\x93 you can catch them on their uk tour this\xe2\x80\xa6 https://t.co/gcexdx9fpw"""
55,"b'@felion84 reading through the message that my colleague has sent, i can see that he was giving you the option to ca\xe2\x80\xa6 https://t.co/f2qr3ydhy2'"
56,b'@0trishaaa hi patricia. the funds should be in the account by the end of today :) andy.'
57,"b'@pt2537 hello paul, sorry for the late reply.  please come over to dm where the character count is higher.  i would\xe2\x80\xa6 https://t.co/mtivz6vwlx'"
58,b'@seifalian hi alexander. i am sorry you\xe2\x80\x99ve had issues getting that logged. did they manage to do it in the end? andy.'
59,"b'@seaninpinner please accept my apologies sean, can you dm me with more details of your problem please? thanks, dean. https://t.co/mpqb4etryv'"
60,"b""@vcxehex hi cehe, i've responded to your dm about this. thanks, dean."""
61,"b""@drcrockford i am sorry about this chris, i'll check our dm's now. thanks, dean."""
